Category	Name	Duration
Animals/Birds	Bird Robin Chirp 1x (1)	0.67s
Animals/Birds	Raven Caw 1x (1)	0.63s
Animals/Birds	Raven Caw 2x (1)	1.17s
Animals/Birds	Rooster Crow (1)	2.47s
Animals/Birds	Rooster Crow (2)	2.43s
Animals/Birds	Turkey Gobbling (1)	1.17s
Animals/Cat	Cat Angry Meow 1x (1)	1.68s
Animals/Cat	Cat Angry Meow 1x (2)	1.97s
Animals/Cat	Cat Angry Screech 1x (1)	1.5s
Animals/Cat	Cat Long Meow 1x (1)	1.75s
Animals/Cat	Cat Meow 1x (1)	1.03s
Animals/Cat	Cat Meow 1x (2)	1.25s
Animals/Cat	Cat Purr (1)	1.82s
Animals/Cat	Cat Purr (2)	1.82s
Animals/Cat	Cat Purr (3)	1.71s
Animals/Cat	Cat Purr Meow (1)	1.61s
Animals/Chickens	Chicken Cluck (1)	1.07s
Animals/Crow	Crow Caw 1x (1)	0.74s
Animals/Crow	Crow Caw 1x (2)	0.81s
Animals/Dinosaurs	Dinosaurs (1)	4.68s
Animals/Dinosaurs	Dinosaurs (2)	2.06s
Animals/Dinosaurs	Dinosaurs (3)	2.04s
Animals/Dinosaurs	Dinosaurs (4)	3.89s
Animals/Dinosaurs	Dinosaurs (5)	4.26s
Animals/Dinosaurs	Dinosaurs (6)	5.12s
Animals/Dinosaurs	Dinosaurs (7)	2.09s
Animals/Dinosaurs	Dinosaurs (8)	3.21s
Animals/Dinosaurs	Dinosaurs (9)	2.32s
Animals/Dinosaurs	Dinosaurs (10)	4.73s
Animals/Dinosaurs	Dinosaurs (11)	1.8s
Animals/Dinosaurs	Dinosaurs (12)	1.7s
Animals/Dinosaurs	Dinosaurs (13)	1.23s
Animals/Dinosaurs	Dinosaurs (14)	3.71s
Animals/Dinosaurs	Dinosaurs (15)	2.59s
Animals/Dog	Dog Med Bark 1x (1)	0.74s
Animals/Dog	Dog Med Bark 1x (2)	0.81s
Animals/Dog	Dog Med Bark 1x (3)	0.53s
Animals/Dog	Dog Med Bark 2x (1)	1.25s
Animals/Dog	Dog Med Bark 2x (2)	0.92s
Animals/Dog	Dog Med Bark 2x (3)	0.92s
Animals/Dog	Dog Med Bark Growl (1)	1.35s
Animals/Dog	Dog Med Growl 1x (1)	1.28s
Animals/Dog	Dog Med Woof 1x (1)	0.6s
Animals/Dog	Dog Small Bark 2x (1)	1.25s
Animals/Elephant	Elephant (1)	1.64s
Animals/Elephant	Elephant (2)	1.86s
Animals/Elephant	Elephant (3)	1.86s
Animals/Elephant	Elephant (4)	1.86s
Animals/Elephant	Elephant (5)	1.64s
Animals/Gorilla	Gorilla (1)	3.84s
Animals/Gorilla	Gorilla (2)	4.55s
Animals/Gorilla	Gorilla (3)	1.99s
Animals/Gorilla	Gorilla (4)	1.91s
Animals/Gorilla	Gorilla (5)	3.13s
Animals/Gorilla	Gorilla (6)	2.77s
Animals/Gorilla	Gorilla (7)	3.71s
Animals/Gorilla	Gorilla (8)	2.93s
Animals/Gorilla	Gorilla (9)	0.97s
Animals/Gorilla	Gorilla (10)	0.97s
Animals/Horse	Horse Gallop 4x (1)	1.93s
Animals/Horse	Horse Gallop 4x (2)	1.89s
Animals/Horse	Horse Gallop 4x (3)	1.86s
Animals/Horse	Horse Huff Whinny (1)	2.47s
Animals/Horse	Horse Neigh (1)	1.43s
Animals/Horse	Horse Neigh Low (1)	1.93s
Animals/Horse	Horse Whinny (1)	2s
Animals/Horse	Horse Whinny (2)	2.76s
Animals/Horse	Horse Whinny (3)	3.08s
Animals/Lion	Lion Roar (1)	2.4s
Animals/Lion	Lion Roar (2)	1.71s
Animals/Lion	Lion Roar (3)	2.18s
Animals/Monkey	Monkey Calls 3x (1)	1.53s
Animals/Monkey	Monkey Chimp (1)	2.69s
Animals/Monkey	Monkeys Chatter (1)	3.8s
Animals/Rat	Rat Squeak 2x (1)	1.75s
Animals/Rat	Rat Squeaks (1)	1.43s
Animals/Sheep	Sheep Baa (1)	1.61s
Animals/Sheep	Sheep Bleat (1)	1.43s
Animals/Sheep	Sheep Bleat (2)	1.35s
Animals/Sheep	Sheep Bleat (3)	1.39s
Animals/Wolf	Wolf Howl (1)	1.97s
Animals/Wolf	Wolf Howl (2)	2.07s
Animals/Wolf	Wolf Howl (3)	3.95s
Animals/Wolf	Wolf Young Howl (1)	2.22s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (1)	7.76s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (2)	8.02s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (3)	5.04s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (4)	5.07s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (5)	5.02s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (6)	8.41s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (7)	8.91s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (8)	6.61s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (9)	7.24s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (10)	8.62s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (11)	8.54s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (12)	8.52s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (13)	7.18s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (14)	7.78s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (15)	8.8s
Backgrounds_Ambience/Bars_Restaurants	Bars Restaurants (16)	9.01s
Backgrounds_Ambience/Bars_Restaurants	Crowd Bar (1)	5.06s
Backgrounds_Ambience/Bars_Restaurants	Crowd Bar Rowdy (1)	4.67s
Backgrounds_Ambience/Bars_Restaurants	Kitchen Ambience (1)	2.11s
Backgrounds_Ambience/Bars_Restaurants	Restaurant Ambience (1)	2.15s
Backgrounds_Ambience/Bars_Restaurants	Restaurant Ambience (2)	2.11s
Backgrounds_Ambience/Carnivals_Fairs	Carnivals Fairs (1)	4.1s
Backgrounds_Ambience/Carnivals_Fairs	Carnivals Fairs (2)	3.81s
Backgrounds_Ambience/Carnivals_Fairs	Carnivals Fairs (3)	4.44s
Backgrounds_Ambience/Carnivals_Fairs	Carnivals Fairs (4)	3.16s
Backgrounds_Ambience/Carnivals_Fairs	Carnivals Fairs (5)	5.2s
Backgrounds_Ambience/Carnivals_Fairs	Carnivals Fairs (6)	8.25s
Backgrounds_Ambience/Carnivals_Fairs	Carnivals Fairs (7)	8.1s
Backgrounds_Ambience/Carnivals_Fairs	Carnivals Fairs (8)	8.07s
Backgrounds_Ambience/Carnivals_Fairs	Carnivals Fairs (9)	7.92s
Backgrounds_Ambience/Casinos	Casino (1)	7.08s
Backgrounds_Ambience/Casinos	Casino (2)	7.11s
Backgrounds_Ambience/Casinos	Casino (3)	5.75s
Backgrounds_Ambience/Casinos	Casino (4)	6.95s
Backgrounds_Ambience/Casinos	Casino (5)	3.94s
Backgrounds_Ambience/Casinos	Casinos (1)	7.92s
Backgrounds_Ambience/Casinos	Casinos (2)	7.34s
Backgrounds_Ambience/Casinos	Casinos (3)	8.07s
Backgrounds_Ambience/Casinos	Casinos (4)	8.1s
Backgrounds_Ambience/Casinos	Casinos (5)	8.67s
Backgrounds_Ambience/Construction_Factory	Construction Factory (1)	6.71s
Backgrounds_Ambience/Construction_Factory	Construction Factory (2)	7.47s
Backgrounds_Ambience/Construction_Factory	Construction Factory (3)	6.19s
Backgrounds_Ambience/Construction_Factory	Construction Factory (4)	4.55s
Backgrounds_Ambience/Construction_Factory	Construction Factory (5)	8.41s
Backgrounds_Ambience/Construction_Factory	Construction Factory (6)	8.93s
Backgrounds_Ambience/Construction_Factory	Construction Factory (7)	8.8s
Backgrounds_Ambience/Construction_Factory	Construction Factory (8)	8.41s
Backgrounds_Ambience/Construction_Factory	Construction Factory (9)	8.78s
Backgrounds_Ambience/Construction_Factory	Construction Factory (10)	7.63s
Backgrounds_Ambience/Construction_Factory	Construction Factory (11)	8.62s
Backgrounds_Ambience/Construction_Factory	Construction Factory (12)	8.44s
Backgrounds_Ambience/Construction_Factory	Construction Factory (13)	5.09s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (1)	7.18s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (2)	10.61s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (3)	25.13s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (4)	7.68s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (5)	12.07s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (6)	8.65s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (7)	8.78s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (8)	7.6s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (9)	8.7s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (10)	8.7s
Backgrounds_Ambience/Dining_Kitchens_Eating	Dining Kitchens (11)	8.8s
Backgrounds_Ambience/Elevator	Elevator (1)	5.59s
Backgrounds_Ambience/Elevator	Elevator (2)	8.36s
Backgrounds_Ambience/Elevator	Elevator Bell 1x (1)	1.03s
Backgrounds_Ambience/Elevator	Elevator Open Bell (1)	1.64s
Backgrounds_Ambience/Prison	Prison (1)	6.61s
Backgrounds_Ambience/Prison	Prison (2)	8.2s
Backgrounds_Ambience/Prison	Prison (3)	8.57s
Backgrounds_Ambience/Public_Space	Public Space (1)	4.55s
Backgrounds_Ambience/Public_Space	Public Space (2)	5.28s
Backgrounds_Ambience/Public_Space	Public Space (3)	4.94s
Backgrounds_Ambience/Public_Space	Public Space (4)	8.72s
Backgrounds_Ambience/Public_Space	Public Space (5)	6.09s
Backgrounds_Ambience/Tones_Noises	Tones Noises (1)	4.55s
Backgrounds_Ambience/Tones_Noises	Tones Noises (2)	5.17s
Backgrounds_Ambience/Tones_Noises	Tones Noises (3)	3.66s
Backgrounds_Ambience/Tones_Noises	Tones Noises (4)	6.77s
Backgrounds_Ambience/Tones_Noises	Tones Noises (5)	8.7s
Backgrounds_Ambience/Tones_Noises	Tones Noises (6)	8.44s
Backgrounds_Ambience/Tones_Noises	Tones Noises (7)	8.7s
Backgrounds_Ambience/Tones_Noises	Tones Noises (8)	7.86s
Backgrounds_Ambience/Tones_Noises	Tones Noises (9)	8.57s
Backgrounds_Ambience/Tones_Noises	Tones Noises (10)	8.65s
Backgrounds_Ambience/Tones_Noises	Tones Noises (11)	5.77s
Backgrounds_Ambience/Traffic	Traffic (1)	6.32s
Backgrounds_Ambience/Traffic	Traffic (2)	6.43s
Backgrounds_Ambience/Traffic	Traffic (3)	8.65s
Backgrounds_Ambience/Traffic	Traffic (4)	8.99s
Backgrounds_Ambience/Traffic	Traffic (5)	9.06s
Backgrounds_Ambience/Traffic	Traffic (6)	9.14s
Backgrounds_Ambience/Traffic	Traffic (7)	9.04s
Backgrounds_Ambience/Traffic	Traffic (8)	8.57s
Backgrounds_Ambience/Traffic	Traffic (9)	8.72s
Backgrounds_Ambience/Traffic	Traffic (10)	8.93s
Backgrounds_Ambience/Traffic	Traffic (11)	8.8s
Backgrounds_Ambience/Volcano_Earthquake	Earthquake Rumble (1)	2.69s
Backgrounds_Ambience/Volcano_Earthquake	Earthquake Rumble (2)	3.95s
Backgrounds_Ambience/Volcano_Earthquake	Volcano Earthquake (1)	6.22s
Backgrounds_Ambience/Volcano_Earthquake	Volcano Earthquake (2)	5.36s
Backgrounds_Ambience/Volcano_Earthquake	Volcano Earthquake (3)	8.72s
Bell/Chimes	Chimes (1)	4.81s
Bell/Chimes	Chimes (2)	4.41s
Bell/Chimes	Chimes (3)	5.09s
Bell/Chimes	Chimes (4)	5.36s
Bell/Chimes	Chimes (5)	4.86s
Bell/Chimes	Chimes (6)	4.39s
Bell/Chimes	Chimes (7)	4.44s
Bell/Chimes	Chimes (8)	4.83s
Bell/Chimes	Chimes (9)	4.26s
Bell/Chimes	Chimes (10)	2.82s
Bell/Chimes	Chimes (11)	4.44s
Bell/Chimes	Chimes (12)	3.97s
Bell/Chimes	Chimes (13)	4.7s
Bell/Chimes	Chimes (14)	4.02s
Bell/Church	Church Bell 1x (1)	2.15s
Bell/Church	Church Bell 1x (2)	2.11s
Bell/Church	Church Bell 1x (3)	2.11s
Bell/Church	Church Bell 1x (4)	2.15s
Bell/Church	Church Bell 1x (5)	2.07s
Bell/Church	Church Bells (1)	10.14s
Bell/Church	Church Bells (2)	4.88s
Bell/Church	Church Bells (3)	3.94s
Bell/Church	Church Bells (4)	4s
Bell/Church	Church Bells (5)	4.34s
Bell/Church	Church Bells (6)	8.12s
Bell/Church	Church Bells (7)	4.73s
Bell/Church	Church Bells (8)	4.83s
Bell/Church	Church Bells (9)	3.34s
Bell/Church	Church Bells Ringing (1)	1.97s
Boats_Ships/Airboat	Airboat (1)	5.12s
Boats_Ships/Airboat	Airboat (2)	4.86s
Boats_Ships/Airboat	Airboat (3)	6.84s
Boats_Ships/Airboat	Airboat (4)	6.03s
Boats_Ships/Airboat	Airboat (5)	5.07s
Boats_Ships/Airboat	Airboat (6)	4.52s
Boats_Ships/Airboat	Airboat (7)	5.07s
Boats_Ships/Anchors	Anchor (1)	4.96s
Boats_Ships/Anchors	Anchor (2)	4.39s
Boats_Ships/Anchors	Anchor (3)	2.82s
Boats_Ships/Anchors	Anchor (4)	2.12s
Boats_Ships/Anchors	Anchor (5)	4.02s
Boats_Ships/Anchors	Anchor (6)	2.85s
Boats_Ships/Anchors	Anchor (7)	3.13s
Boats_Ships/Anchors	Anchor (8)	4.28s
Boats_Ships/Anchors	Anchor (9)	5.09s
Boats_Ships/Anchors	Anchor (10)	5.09s
Boats_Ships/Anchors	Anchor (11)	2.27s
Boats_Ships/Anchors	Anchor (12)	2.06s
Boats_Ships/Anchors	Anchor (13)	4.05s
Boats_Ships/Futuristic	Futuristic Ship (1)	2.32s
Boats_Ships/Futuristic	Futuristic Ship (2)	5.46s
Boats_Ships/Futuristic	Futuristic Ship (3)	6.01s
Boats_Ships/Futuristic	Futuristic Ship (4)	1.51s
Boats_Ships/Futuristic	Futuristic Ship (5)	3.63s
Boats_Ships/Futuristic	Futuristic Ship (6)	4.52s
Boats_Ships/Futuristic	Futuristic Ship (7)	3.71s
Boats_Ships/Futuristic	Futuristic Ship (8)	4.13s
Boats_Ships/Futuristic	Futuristic Ship (9)	3.42s
Boats_Ships/Futuristic	Futuristic Ship (10)	1.88s
Boats_Ships/Futuristic	Futuristic Ship (11)	1.12s
Boats_Ships/Futuristic	Futuristic Ship (12)	4.36s
Boats_Ships/Futuristic	Futuristic Ship (13)	2.79s
Boats_Ships/Futuristic	Futuristic Ship (14)	2.85s
Boats_Ships/Oar_Boat	Oar Boat (1)	3.19s
Boats_Ships/Oar_Boat	Oar Boat (2)	3.74s
Boats_Ships/Oar_Boat	Oar Boat (3)	4.88s
Boats_Ships/Oar_Boat	Oar Boat (4)	5.15s
Boats_Ships/Oar_Boat	Oar Boat (5)	5.85s
Boats_Ships/Oar_Boat	Oar Boat (6)	2.22s
Boats_Ships/Oar_Boat	Oar Boat (7)	3.84s
Boats_Ships/Oar_Boat	Oar Boat (8)	3.6s
Boats_Ships/Oar_Boat	Oar Boat (9)	3.84s
Boats_Ships/Oar_Boat	Oar Boat (10)	4.13s
Boats_Ships/Oar_Boat	Oar Boat (11)	4.02s
